[TILES] {
    -1,-1: 49
    -1,-2: 16
    -1,-3: 37
    -1,-4: 58
    -1,-5: 71
    -1,-6: 176
    -1,0: 9
    -1,1: 210
    -1,10: 31
    -1,11: 10
    -1,12: 231
    -1,13: 210
    -1,14: 210
    -1,2: 210
    -1,3: 215
    -1,4: 49
    -1,5: 9
    -1,6: 79
    -1,7: 156
    -1,8: 114
    -1,9: 49
    -2,-1: 215
    -2,-2: 16
    -2,-3: 37
    -2,-4: 58
    -2,-5: 71
    -2,-6: 176
    -2,0: 71
    -2,1: 210
    -2,10: 135
    -2,11: 115
    -2,12: 238
    -2,13: 210
    -2,14: 210
    -2,2: 210
    -2,3: 215
    -2,4: 215
    -2,5: 71
    -2,6: 79
    -2,7: 155
    -2,8: 134
    -2,9: 136
    -3,-1: 215
    -3,-2: 15
    -3,-3: 36
    -3,-4: 57
    -3,-5: 71
    -3,-6: 176
    -3,0: 71
    -3,1: 210
    -3,10: 175
    -3,11: 238
    -3,12: 210
    -3,13: 210
    -3,2: 210
    -3,3: 210
    -3,4: 215
    -3,5: 71
    -3,6: 79
    -3,7: 155
    -3,8: 113
    -3,9: 233
    -4,-1: 215
    -4,-2: 210
    -4,-3: 233
    -4,-4: 233
    -4,-5: 71
    -4,-6: 176
    -4,0: 71
    -4,1: 210
    -4,10: 233
    -4,11: 210
    -4,12: 210
    -4,13: 210
    -4,2: 210
    -4,3: 210
    -4,4: 210
    -4,5: 71
    -4,6: 79
    -4,7: 154
    -4,8: 113
    -4,9: 233
    -5,-1: 215
    -5,-2: 210
    -5,-3: 73
    -5,-4: 232
    -5,-5: 71
    -5,-6: 176
    -5,0: 49
    -5,1: 9
    -5,10: 115
    -5,11: 210
    -5,12: 210
    -5,2: 210
    -5,3: 210
    -5,4: 51
    -5,5: 7
    -5,6: 57
    -5,7: 17
    -5,8: 155
    -5,9: 135
    -6,-1: 210
    -6,-2: 210
    -6,-3: 232
    -6,-4: 10
    -6,-5: 50
    -6,-6: 176
    -6,0: 215
    -6,1: 49
    -6,10: 210
    -6,11: 210
    -6,12: 210
    -6,2: 31
    -6,3: 31
    -6,4: 7
    -6,5: 215
    -6,6: 177
    -6,7: 79
    -6,8: 155
    -6,9: 113
    -7,-1: 210
    -7,-2: 210
    -7,-3: 73
    -7,-4: 232
    -7,-5: 71
    -7,-6: 176
    -7,0: 215
    -7,1: 215
    -7,10: 115
    -7,11: 210
    -7,2: 232
    -7,3: 215
    -7,4: 232
    -7,5: 215
    -7,6: 176
    -7,7: 79
    -7,8: 154
    -7,9: 134
    -8,-1: 210
    -8,-2: 210
    -8,-3: 233
    -8,-4: 233
    -8,-5: 70
    -8,-6: 175
    -8,0: 210
    -8,1: 215
    -8,2: 215
    -8,3: 215
    -8,4: 215
    -8,5: 215
    -8,6: 175
    -8,7: 57
    -8,8: 18
    -8,9: 175
    0,-1: 71
    0,-2: 16
    0,-3: 37
    0,-4: 58
    0,-5: 71
    0,-6: 176
    0,0: 210
    0,1: 210
    0,10: 154
    0,11: 115
    0,12: 238
    0,13: 210
    0,14: 210
    0,2: 210
    0,3: 215
    0,4: 71
    0,5: 215
    0,6: 79
    0,7: 254
    0,8: 49
    0,9: 9
    1,-1: 71
    1,-2: 16
    1,-3: 37
    1,-4: 58
    1,-5: 71
    1,-6: 176
    1,0: 210
    1,1: 210
    1,10: 177
    1,11: 238
    1,12: 210
    1,13: 210
    1,2: 210
    1,3: 215
    1,4: 71
    1,5: 60
    1,6: 17
    1,7: 49
    1,8: 9
    1,9: 233
    2,-1: 71
    2,-2: 16
    2,-3: 37
    2,-4: 58
    2,-5: 71
    2,-6: 176
    2,0: 210
    2,1: 210
    2,10: 233
    2,11: 210
    2,12: 210
    2,2: 215
    2,3: 215
    2,4: 72
    2,5: 235
    2,6: 52
    2,7: 9
    2,8: 175
    2,9: 233
    3,-1: 71
    3,-2: 17
    3,-3: 40
    3,-4: 58
    3,-5: 71
    3,-6: 176
    3,0: 210
    3,1: 210
    3,10: 115
    3,11: 210
    3,12: 210
    3,2: 175
    3,3: 215
    3,4: 215
    3,5: 78
    3,6: 254
    3,7: 154
    3,8: 134
    3,9: 133
    4,-1: 71
    4,-2: 254
    4,-3: 17
    4,-4: 59
    4,-5: 71
    4,-6: 176
    4,0: 210
    4,1: 210
    4,10: 210
    4,11: 210
    4,12: 210
    4,2: 155
    4,3: 112
    4,4: 215
    4,5: 79
    4,6: 154
    4,7: 117
    4,8: 134
    4,9: 113
    5,-1: 9
    5,-2: 31
    5,-3: 31
    5,-4: 31
    5,-5: 51
    5,-6: 176
    5,0: 210
    5,1: 210
    5,10: 115
    5,11: 210
    5,2: 155
    5,3: 138
    5,4: 112
    5,5: 79
    5,6: 155
    5,7: 134
    5,8: 134
    5,9: 134
    6,-1: 210
    6,-2: 215
    6,-3: 215
    6,-4: 254
    6,-5: 112
    6,-6: 155
    6,0: 210
    6,1: 210
    6,2: 155
    6,3: 134
    6,4: 113
    6,5: 79
    6,6: 155
    6,7: 134
    6,8: 137
    6,9: 114
    7,-1: 210
    7,-2: 215
    7,-3: 215
    7,-4: 215
    7,-5: 114
    7,-6: 156
    7,0: 210
